V;V_err;I;I_err
400;15.62849961;0.006;0.001015
420;16.09378762;0.008;0.00102
440;16.56773974;0.013;0.0010325
460;17.04963343;0.019;0.0010475
480;17.5388141;0.03;0.001075
500;18.0346888;0.042;0.001105
520;18.53672031;0.069;0.0011725
540;19.04442176;0.101;0.0012525
560;19.55735156;0.159;0.0013975
580;20.07510897;0.241;0.0016025
600;20.59732992;0.375;0.0019375
640;27.72886583;0.611;0.0025275
720;29.44163718;2.02;0.01505
760;30.33298535;5.72;0.0243
