V_osc;Err_osc;V_mult;Err_mult;;;
50;1.870828693;50.1;0.22525;;;
100;3.640054945;102.9;0.35725;;;
150;6.745368782;157.8;0.4945;;;
200;7.826237921;208;1.52;;;
250;9.027735043;256;1.64;;;
300;10.30776406;306;1.765;;;
350;14.50861813;361;1.9025;;;
400;15.62849961;410;2.025;;;
450;16.80773631;461;2.1525;;;
500;18.0346888;509;2.2725;;;
550;19.30025907;560;2.4;;;
